# Note: Line fluxes given scaled to redshift z = 3.0 and M_d = 8.68e+09Msun 
# Max contribution from a single source is 0.71 for HCN32 line
# The last several lines give the results for stacking *all* transitions of
# a given molecule - be careful with how you use these values!
# Line 		Nsrc 	I 	dI 	16% 	84% 	Lline 		dLline 		L'line 		dL'line 	S/N 	Max single contribution 
# --- 		--- 	Jykm/s 	Jykm/s	Jykm/s 	Jykm/s 	Lsun 		Lsun 		Kkm/spc2 	Kkm/spc2 	--- 	---
H2O+761 	5 	1.164 	0.855 	0.267 	4.290 	1.560e+08 	1.146e+08 	1.103e+10 	8.097e+09 	1.36 	0.51
CH532   	37 	0.593 	0.078 	0.111 	2.076 	5.559e+07 	7.352e+06 	1.149e+10 	1.520e+09 	7.56 	0.23
CH536   	37 	0.365 	0.077 	-0.157 	1.180 	3.447e+07 	7.297e+06 	6.965e+09 	1.475e+09 	4.72 	0.25
OH425   	30 	-0.034 	0.049 	-0.713 	0.233 	-2.511e+06 	3.661e+06 	-1.022e+09 	1.490e+09 	-0.69 	0.15
OH446   	36 	0.177 	0.056 	-0.181 	0.601 	1.389e+07 	4.422e+06 	4.884e+09 	1.555e+09 	3.14 	0.14
CN32    	14 	0.180 	0.034 	0.034 	0.447 	1.075e+07 	2.016e+06 	8.531e+09 	1.599e+09 	5.33 	0.17
CN43    	35 	0.093 	0.104 	-0.842 	1.868 	1.091e+07 	3.714e+06 	3.654e+09 	1.244e+09 	0.89 	0.11
CN54    	37 	0.010 	0.102 	-0.735 	1.162 	1.039e+06 	1.015e+07 	1.782e+08 	1.740e+09 	0.10 	0.26
CN65    	12 	-0.685 	0.343 	-1.876 	1.832 	-8.201e+07 	4.106e+07 	-8.141e+09 	4.076e+09 	-2.00 	0.26
SiO76   	8 	-0.066 	0.049 	-0.415 	0.040 	-3.537e+06 	2.645e+06 	-3.938e+09 	2.944e+09 	-1.34 	0.22
SiO87   	16 	-0.031 	0.034 	-0.278 	0.085 	-1.874e+06 	2.104e+06 	-1.398e+09 	1.569e+09 	-0.89 	0.16
SiO98   	26 	-0.053 	0.041 	-0.393 	0.131 	-3.668e+06 	2.787e+06 	-1.922e+09 	1.460e+09 	-1.32 	0.10
SiO109  	32 	-0.025 	0.051 	-0.442 	0.528 	-1.909e+06 	3.931e+06 	-7.291e+08 	1.501e+09 	-0.49 	0.15
SiO1110 	34 	-0.007 	0.063 	-0.313 	0.634 	-5.632e+05 	5.257e+06 	-1.616e+08 	1.509e+09 	-0.11 	0.15
SiO1211 	36 	0.007 	0.076 	-0.612 	0.855 	6.111e+05 	6.923e+06 	1.351e+08 	1.531e+09 	0.09 	0.26
SiO1312 	36 	-0.132 	0.106 	-1.121 	0.447 	-1.315e+07 	1.057e+07 	-2.287e+09 	1.839e+09 	-1.24 	0.22
SiO1413 	27 	0.073 	0.142 	-1.216 	2.122 	7.755e+06 	1.523e+07 	1.080e+09 	2.122e+09 	0.51 	0.27
SiO1514 	19 	-0.262 	0.235 	-1.836 	1.185 	-3.004e+07 	2.688e+07 	-3.404e+09 	3.046e+09 	-1.12 	0.14
SiO1615 	11 	-0.071 	0.544 	-2.419 	1.478 	-8.645e+06 	6.646e+07 	-8.072e+08 	6.206e+09 	-0.13 	0.23
SiO1716 	7 	-0.968 	0.696 	-2.735 	-0.109 	-1.257e+08 	9.037e+07 	-9.787e+09 	7.037e+09 	-1.39 	0.39
CS65    	6 	0.013 	0.050 	-0.128 	0.075 	6.717e+05 	2.582e+06 	8.267e+08 	3.178e+09 	0.26 	0.23
CS76    	15 	0.016 	0.034 	-0.123 	0.107 	9.656e+05 	2.035e+06 	7.486e+08 	1.578e+09 	0.47 	0.17
CS87    	26 	0.025 	0.040 	-0.209 	0.248 	1.725e+06 	2.737e+06 	8.959e+08 	1.422e+09 	0.63 	0.10
CS109   	38 	0.066 	0.064 	-0.492 	0.744 	5.729e+06 	5.526e+06 	1.524e+09 	1.470e+09 	1.04 	0.15
CS1110  	37 	-0.075 	0.077 	-1.025 	0.539 	-7.089e+06 	7.332e+06 	-1.417e+09 	1.466e+09 	-0.97 	0.27
CS1211  	32 	0.239 	0.114 	-0.290 	1.441 	2.470e+07 	1.175e+07 	3.804e+09 	1.810e+09 	2.10 	0.25
CS1312  	20 	0.054 	0.240 	-1.286 	1.810 	6.007e+06 	2.688e+07 	7.279e+08 	3.258e+09 	0.22 	0.10
CS1413  	12 	-1.043 	0.398 	-3.361 	0.221 	-1.259e+08 	4.805e+07 	-1.221e+10 	4.663e+09 	-2.62 	0.31
CS1514  	7 	-0.696 	0.678 	-3.309 	0.485 	-8.998e+07 	8.762e+07 	-7.101e+09 	6.915e+09 	-1.03 	0.39
NH3100000 	35 	0.024 	0.105 	-1.237 	1.157 	2.442e+06 	1.062e+07 	4.067e+08 	1.769e+09 	0.23 	0.25
N2H+32  	2 	0.083 	0.113 	-0.168 	0.142 	4.072e+06 	5.550e+06 	5.827e+09 	7.942e+09 	0.73 	0.71
N2H+43  	22 	0.007 	0.036 	-0.277 	0.118 	4.483e+05 	2.379e+06 	2.707e+08 	1.436e+09 	0.19 	0.12
N2H+54  	36 	0.044 	0.062 	-0.283 	0.483 	3.636e+06 	5.048e+06 	1.124e+09 	1.561e+09 	0.72 	0.14
N2H+65  	34 	0.148 	0.098 	-0.420 	1.421 	1.451e+07 	9.675e+06 	2.596e+09 	1.731e+09 	1.50 	0.24
N2H+76  	19 	0.092 	0.237 	-0.746 	1.581 	1.055e+07 	2.716e+07 	1.189e+09 	3.061e+09 	0.39 	0.14
N2H+87  	7 	0.592 	0.826 	-3.270 	2.598 	7.764e+07 	1.083e+08 	5.863e+09 	8.177e+09 	0.72 	0.32
CCH32   	2 	-0.326 	0.168 	-0.362 	-0.304 	-1.502e+07 	7.765e+06 	-2.609e+10 	1.349e+10 	-1.93 	0.59
CCH43   	17 	0.069 	0.035 	-0.024 	0.351 	4.223e+06 	2.131e+06 	3.095e+09 	1.562e+09 	1.98 	0.18
CCH54   	30 	-0.011 	0.053 	-0.531 	0.566 	-8.127e+05 	4.094e+06 	-3.050e+08 	1.537e+09 	-0.20 	0.17
CCH65   	37 	0.117 	0.076 	-0.789 	0.994 	1.079e+07 	6.962e+06 	2.344e+09 	1.512e+09 	1.55 	0.24
CCH76   	24 	0.076 	0.150 	-1.473 	1.492 	8.212e+06 	1.616e+07 	1.124e+09 	2.211e+09 	0.51 	0.26
CCH87   	11 	0.493 	0.588 	-0.914 	2.510 	6.058e+07 	7.223e+07 	5.554e+09 	6.622e+09 	0.84 	0.21
H21alpha 	17 	-0.110 	0.254 	-1.357 	1.701 	-1.279e+07 	2.956e+07 	-1.375e+09 	3.179e+09 	-0.43 	0.15
H23alpha 	37 	0.029 	0.081 	-0.478 	0.486 	2.593e+06 	7.266e+06 	6.211e+08 	1.741e+09 	0.36 	0.20
H24alpha 	35 	0.015 	0.060 	-0.636 	0.558 	1.192e+06 	4.753e+06 	4.156e+08 	1.657e+09 	0.25 	0.10
H25alpha 	25 	0.010 	0.040 	-0.135 	0.681 	6.855e+05 	2.775e+06 	3.426e+08 	1.387e+09 	0.25 	0.12
H26alpha 	18 	-0.033 	0.034 	-0.151 	0.293 	-2.058e+06 	2.095e+06 	-1.454e+09 	1.481e+09 	-0.98 	0.17
H27alpha 	10 	-0.064 	0.041 	-0.172 	0.120 	-3.563e+06 	2.288e+06 	-3.514e+09 	2.257e+09 	-1.56 	0.16
