# nu	S_nu	dS_nu	Nsource
# GHz	mJy	mJy	---
446.85	0.2337	0.2037	10
447.59	-0.0336	0.2093	10
448.34	-0.0711	0.2050	10
449.09	-0.2275	0.2028	10
449.84	0.0824	0.2130	10
450.59	-0.3688	0.2228	10
451.34	0.1727	0.2243	10
452.09	0.0769	0.2256	10
452.85	0.4702	0.2468	10
453.60	0.9002	0.2686	10
454.36	0.2931	0.2685	10
455.11	0.0978	0.2636	10
455.87	-0.3039	0.2595	10
456.63	-0.1404	0.2453	10
457.40	-0.4048	0.2447	10
458.16	-0.0341	0.2422	11
458.92	-0.2276	0.2393	11
459.69	-0.2144	0.2388	11
460.45	1.1920	0.2401	11
461.22	10.2737	0.2398	12
461.99	3.7381	0.2376	12
462.76	-0.0789	0.2412	12
463.53	-0.3366	0.2442	12
464.31	-0.1681	0.2460	12
465.08	-0.1554	0.2449	12
465.86	0.0344	0.2468	12
466.63	-0.0053	0.2482	12
467.41	0.0350	0.2508	12
468.19	-0.1605	0.2540	12
468.97	-0.1171	0.2569	13
469.76	-0.1810	0.2663	13
470.54	-0.2266	0.2734	13
471.32	-0.3897	0.2783	12
472.11	-0.3886	0.2811	12
472.90	0.0458	0.2994	12
473.69	-0.5199	0.3105	12
474.48	0.2059	0.3128	12
475.27	0.8376	0.3155	11
476.06	-0.0395	0.3178	11
476.85	0.5961	0.3186	11
477.65	0.1611	0.3111	11
478.45	0.3842	0.3102	11
479.24	0.0895	0.3138	11
480.04	0.4597	0.3153	11
480.84	0.6324	0.3161	11
481.65	0.4769	0.3120	11
482.45	0.1081	0.3160	11
483.25	0.0804	0.3167	11
484.06	0.1169	0.3207	11
484.87	0.0493	0.3237	11
485.68	0.1135	0.3223	12
486.49	-0.0031	0.3129	12
487.30	0.2361	0.3145	12
488.11	0.2040	0.3212	13
488.92	0.2505	0.3129	13
489.74	-0.0683	0.3043	13
490.56	-0.4022	0.3104	13
491.37	-0.2455	0.3128	13
492.19	3.8173	0.3137	13
493.01	2.3452	0.3147	13
493.84	0.5259	0.3190	13
