# Each modeled source, with all params.
# lensed? is a flag for if the source is lensed; if F, its position is relative to the ALMA phase center; if T, to the lens galaxy
# reff is the circularized half-light radius in arcsec
# nS is the Sersic profile index (0.5=gaussian, 1=expdisk, 4=deVaucoleurs)
# b/a is the source axis ratio, minor/major, at position angle phiS
# mu870 is the magnification as (apparent flux)/(intrinsic flux)
# reff of 0 means the source was unresolved (pointlike) in the data, so roughly reff ~< 0.2"
#Source		src	zS	lensed?	xS	dxS	yS	dyS	S870	dS870	reff	dreff	nS	dnS	b/a	db/a	phiS	dphiS	mu870	dmu870
#------		---	--	T/F	arcsec	arcsec	arcsec	arcsec	mJy	mJy	arcsec	arcsec	nSersic	nSersic	axratio	axratio	degEofN	deg	---	---
SPT2340-59	A	3.862	T	-0.924	0.07	0.210	0.02	10.898	0.95	0.121	0.006	1.26	0.171	0.581	0.036	76.0	5.1	3.369	0.312
SPT2349-50	A	2.876	T	-0.222	0.01	0.003	0.01	21.008	0.99	0.159	0.006	1.02	0.143	0.759	0.048	15.9	6.4	2.148	0.092
SPT2349-56	A	4.302	F	-0.327	0.01	-0.464	0.01	8.759	0.27	0.176	0.013	0.500	0.000	0.360	0.057	66.5	2.6	1.000	0.000
SPT2349-56	B	4.302	F	0.611	0.01	-4.907	0.01	7.849	0.26	0.103	0.011	0.500	0.000	0.531	0.074	88.1	10.3	1.000	0.000
SPT2349-56	C	4.302	F	1.059	0.02	-6.134	0.02	4.604	0.27	0.114	0.019	0.500	0.000	0.654	0.083	59.6	21.9	1.000	0.000
SPT2349-56	D	4.302	F	0.213	0.02	-6.192	0.03	1.525	0.16	0.000	0.000	0.000	0.000	1.000	0.000	0.0	0.0	1.000	0.000
SPT2349-56	E	4.302	F	-4.734	0.05	-6.833	0.05	1.672	0.22	0.000	0.000	0.000	0.000	1.000	0.000	0.0	0.0	1.000	0.000
SPT2349-56	F	4.302	F	-10.827	0.23	-3.589	0.18	1.586	0.27	0.000	0.000	0.000	0.000	1.000	0.000	0.0	0.0	1.000	0.000
SPT2354-58	A	1.867	T	0.127	0.01	-0.010	0.00	10.229	0.61	0.100	0.004	0.22	0.020	0.610	0.026	132.6	3.9	6.287	0.362
SPT2357-51	A	3.070	T	0.050	0.02	-0.185	0.01	13.797	0.66	0.152	0.004	0.500	0.000	1.000	0.000	0.0	0.0	2.851	0.119
