# Reuter 2020 table F1
# updated with kappa from W&D+03; kappa_850um/m^2 kg^-1 = 0.038
#Source		specz	photoz	err	Tdust	Terr	lambda_peak	lens	mu	dmu	LFIR	LFIRerr	Mdust	Mdusterr	SFR	SFRerr
#---	---	K	K	um	---	---	1e13Lsun	1e13Lsun	1e9Msun	1e9Msun	1e3Msun/yr	1e3Msun/yr
SPT2031-51	2.452	2.9	0.4	37	6	100	6	1	3.89	0.16	0.8	0.2	3.13	0.65	1.09	1.8	0.3
SPT2037-65	3.998	5.1	0.6	35	4	89	3	0	5.5	0.62	1.3	0.2	6.01	2.73	7.71	3.8	2.4
SPT2048-55	4.090	5.1	0.7	33	31	85	8	1	6.25	0.70	0.4	0.2	1.13	3.00	2.83	1.0	0.2
SPT2101-60	3.155	3.1	0.6	52	10	89	9	0	5.5	0.62	0.9	0.1	1.26	0.58	1.39	2.7	1.8
SPT2103-60	4.436	5.1	0.7	44	9	102	3	1	27.84	1.76	0.1	0.02	0.31	0.08	0.14	0.4	0.1
SPT2129-57	3.260	4.1	0.4	56	13	87	6	0	5.5	0.62	0.8	0.1	0.96	0.44	1.32	2.5	1.6
SPT2132-58	4.768	5.2	0.6	51	19	90	11	1	5.72	0.54	0.7	0.1	0.92	0.33	0.98	2.1	0.6
SPT2134-50	2.780	3.0	0.3	61	20	83	6	1	21.00	2.42	0.3	0.07	0.34	0.10	0.23	0.8	0.1
SPT2146-55	4.567	4.6	0.8	47	19	88	11	1	6.65	0.41	0.5	0.1	0.81	0.33	0.93	1.7	0.4
SPT2147-50	3.760	4.2	0.7	48	9	93	8	1	6.55	0.42	0.5	0.07	0.93	0.22	0.29	1.3	0.3
SPT2152-40	3.851	4.9	0.5	47	11	93	9	0	5.5	0.62	0.7	0.1	1.32	0.65	1.92	2.2	1.4
SPT2203-41	5.194	5.3	0.9	53	10	95	2	0	5.5	0.62	0.6	0.1	0.80	0.37	1.14	2.2	1.4
SPT2232-61	2.894	3.1	0.5	45	8	100	6	0	5.5	0.62	0.7	0.1	1.33	0.58	1.54	2.3	1.5
SPT2311-45	2.507	3.2	0.5	35	6	97	6	0	5.5	0.62	0.4	0.1	1.97	0.87	2.47	1.0	0.6
SPT2311-54	4.280	4.3	0.6	61	12	76	7	1	1.95	0.09	1.7	0.2	1.70	0.38	0.67	5.9	0.9
SPT2316-50	3.141	3.6	1.0	48	18	106	5	0	5.5	0.62	0.2	0.1	0.38	0.22	0.72	0.6	0.4
SPT2319-55	5.293	5.8	0.9	60	17	86	10	1	7.89	1.85	0.3	0.1	0.34	0.11	0.29	1.2	0.4
SPT2332-53	2.726	2.1	0.3	64	12	77	6	0	5.5	0.62	1.7	0.3	1.50	0.65	1.86	3.8	2.4
SPT2335-53	4.755	4.3	1.0	61	16	81	2	0	5.5	0.62	0.3	0.1	0.30	0.15	0.43	2.0	1.3
SPT2340-59	3.862	4.3	0.9	55	14	93	3	1	3.37	0.31	0.5	0.1	0.68	0.18	0.36	2.0	0.3
SPT2349-50	2.876	3.7	0.6	49	15	94	7	1	2.15	0.09	1.3	0.3	2.02	0.57	1.40	3.9	0.7
SPT2349-52	3.900	4.1	1.0	63	17	84	3	0	5.5	0.62	0.2	0.04	0.18	0.08	0.26	1.2	0.8
SPT2349-56	4.302	4.6	0.7	59	11	84	2	1	1.00	0.00	1.7	0.2	1.88	0.42	0.61	6.3	0.5
SPT2351-57	5.811	4.6	1.1	70	15	70	7	0	5.5	0.62	0.5	0.1	0.38	0.18	0.48	2.9	1.9
SPT2353-50	5.578	5.7	0.9	66	16	81	10	0	5.5	0.62	0.5	0.1	0.48	0.23	0.66	2.1	1.4
SPT2354-58	1.867	1.9	0.3	61	17	87	4	1	6.29	0.36	0.9	0.2	0.95	0.24	0.54	2.8	0.3
SPT2357-51	3.070	3.8	0.6	43	6	110	3	1	2.85	0.12	0.7	0.1	1.79	0.32	0.42	2.4	0.2
